"interview__key","interview__id","cm_d01a1","cm_d01a2","cm_d01b1","cm_d01b2","cm_d01c1","cm_d01c2","cm_d01d1","cm_d01d2","cm_d01e1","cm_d01e2","cm_d01f1","cm_d01f2","cm_d01g1","cm_d01g2","cm_d01h1","cm_d01h2","cm_d02","cm_d03m","cm_d03y"
"00-25-04-46","918880d8725c48aabce7739fa26ff405",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
"01-06-47-85","0f7224925e994408b2a2c95070eb1be6",0,0,0,0,0,0,0,0,0,0,741,,,,,,2,,
"01-24-57-16","e51172cd58354d39b05cb8507c812f77",2297,36,1500,23,0,0,0,0,1000,17,1600,24,3,0,0,0,2,,
"01-72-20-39","cd1b6d4622b446ab913df29575bb52b4",400,27,100,6,0,0,0,0,0,0,1000,67,0,0,0,0,2,,
"01-82-05-19","69ca3dbdcde94103afd1cc1f095d6945",0,0,0,0,0,0,0,0,0,0,0,90,0,10,0,0,2,,
"02-08-04-64","67565d353675441b9a3710964108a6c2",,,,,,,,,,,,,,,,,2,,
"02-13-48-87","81c3b588f9ba4006982758f870f2f813",0,0,0,0,0,0,0,0,0,0,30,100,0,0,0,0,2,,
"02-42-01-91","0e4926dd925f4959a0a2ba9fcf76f4b1",0,0,0,0,0,0,0,0,0,0,18,35,82,65,0,0,2,,
"02-47-01-60","5547333a50e842c3b7f5e0d596c94105",1600,10,0,0,0,0,7200,45,20,1,4000,25,0,0,0,0,2,,
"02-66-66-02","eea4ad4f966f47d683df307558202d6a",,,,,,,,,,,,,,,,,1,99,1974
"03-22-58-12","a276a7cd34714b13a398b24552128770",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
"03-45-67-62","17f44b30f5cd405eb90778c7156592d6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,
"03-46-31-84","6abc63d603c54c8fbce3495dce08f5ed",4584,67,0,0,692,10,553,8,0,0,1047,15,0,0,0,0,2,,
"03-56-36-64","bc9b40a668f6400e8f1d47278a5bb5fa",0,0,0,0,0,0,0,0,0,0,276,90,20,7,30,10,2,,
"03-77-08-35","e9fceece00044393aa812fcded6a8216",1980,63,0,0,460,15,345,11,0,0,340,10,0,0,12,1,1,9,2009
"03-98-19-33","2af74dc3885e42718aa0a5bed9b7b3cb",,,,,,,,,,,,,,,,,,,
"04-16-80-99","3488dabcb0f0414e85b0892e08bd35a7",0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2,,
"04-20-86-53","b5288b868ad24efe9dd1d38a55b8ef05",0,0,0,0,0,0,0,0,0,0,,,,,,,2,,
"04-31-96-12","4b4b853fb39446949bae0db4e452fd68",5,1,0,0,0,0,0,0,0,0,20,98,1,1,0,0,2,,
"04-49-66-61","bfa1cc2538de4ccd873475195e0d1f31",0,0,0,0,0,0,0,0,20,1,410,80,300,60,0,0,2,,
"04-72-35-98","92b9570f94b14e3ba9515e71d493138d",0,0,0,0,0,0,0,0,0,0,,,,,,,2,,
